preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Creatures,FFFFFF,Argus Panoptes,Argus Panoptes,8,,Gold,Square with round hole,,Argus Panoptes,5,Round canvas portrait of Argus Panoptes,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Greek/Creatures/Argus Panoptes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Argus Panoptes""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Arion,Arion,,,Green,,,,,Round canvas portrait of Arion,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Arion,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Arion""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Ash Tree Nymphs,Ash Tree Nymphs,,,,,,,,Round canvas portrait of Ash Tree Nymphs,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Ash Tree Nymphs,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ash Tree Nymphs""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Cerberus,Cerberus,,,,,,,,Round canvas portrait of Cerberus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Cerberus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Cerberus""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Ceryneian Hind,Ceryneian Hind,,,,,,,,Round canvas portrait of Ceryneian Hind,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Ceryneian Hind,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ceryneian Hind""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Chimaera,Chimaera,,,,,,,,Round canvas portrait of Chimaera,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Chimaera,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Chimaera""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Chiron,Chiron,,,,,,,,Round canvas portrait of Chiron,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Chiron,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Chiron""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Chrysaor (KHRYSAOR),Chrysaor (KHRYSAOR),,,,,,,,Round canvas portrait of Chrysaor (KHRYSAOR),,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Chrysaor (KHRYSAOR),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Chrysaor (KHRYSAOR)""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Cretan Bull,Cretan Bull,,,,,,,,Round canvas portrait of Cretan Bull,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Cretan Bull,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Cretan Bull""}]",,,,,,,,,,,,,,
,,,,Creatures,FFFFFF,Cyclopes - Photoshop eyes,Cyclopes - Photoshop eyes,,,,,,,,Round canvas portrait of Cyclopes - Photoshop eyes,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Creatures/Cyclopes - Photoshop eyes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Cyclopes - Photoshop eyes""}]",,,,,,,,,,,,,,
