preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Greek Heroes,FFFFFF,1. Jason and the Argonauts set sail,1. Jason and the Argonauts set sail,8,,Gold,Square with round hole,1-jason-and-the-argonauts-set-sail,1. Jason and the Argonauts set sail,5,Round canvas portrait of 1. Jason and the Argonauts set sail,5,,,,,,,,,,,,,,,,,,,,2,3,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,Zora,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""1. Jason and the Argonauts set sail""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,2. Posiedon And The Crashing Rocks,2. Posiedon And The Crashing Rocks,,,Green,,2-posiedon-and-the-crashing-rocks,,,Round canvas portrait of 2. Posiedon And The Crashing Rocks,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""2. Posiedon And The Crashing Rocks""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,3. The island Of Colchis Island,3. The island Of Colchis Island,,,,,3-the-island-of-colchis-island,,,Round canvas portrait of 3. The island Of Colchis Island,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""3. The island Of Colchis Island""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,"4. Talos, The Bronze Giant","4. Talos, The Bronze Giant",,,,,4-talos-the-bronze-giant,,,"Round canvas portrait of 4. Talos, The Bronze Giant",,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""4. Talos, The Bronze Giant""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,5. A Cadre Of Skeleton Fighters,5. A Cadre Of Skeleton Fighters,,,,,5-a-cadre-of-skeleton-fighters,,,Round canvas portrait of 5. A Cadre Of Skeleton Fighters,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""5. A Cadre Of Skeleton Fighters""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,6. The Legendary Golden Fleece,6. The Legendary Golden Fleece,,,,,6-the-legendary-golden-fleece,,,Round canvas portrait of 6. The Legendary Golden Fleece,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts  (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""6. The Legendary Golden Fleece""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,Jason and The Arganauts - Collection One,Jason and The Arganauts - Collection One,,,,,jason-and-the-arganauts-collection-one,,,Round canvas portrait of Jason and The Arganauts - Collection One,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts - Collection One,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Jason and The Arganauts - Collection One""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,Jason and The Arganauts - Collection Two,Jason and The Arganauts - Collection Two,,,,,jason-and-the-arganauts-collection-two,,,Round canvas portrait of Jason and The Arganauts - Collection Two,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts - Collection Two,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Jason and The Arganauts - Collection Two""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,Jason and The Arganauts - Collection Three,Jason and The Arganauts - Collection Three,,,,,jason-and-the-arganauts-collection-three,,,Round canvas portrait of Jason and The Arganauts - Collection Three,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Jason and The Arganauts - Collection Three,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Jason and The Arganauts - Collection Three""}]",,,,,,,,,,,,
,,,,Hero Stories And Collections,FFFFFF,1. Achilles - Hero And Warrior,1. Achilles - Hero And Warrior,,,,,1-achilles-hero-and-warrior,,,Round canvas portrait of 1. Achilles - Hero And Warrior,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Greek Heroes/Hero Stories & Collections/Achilles And The War Of Troy (Singles),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""1. Achilles - Hero And Warrior""}]",,,,,,,,,,,,
