preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Monsters,FFFFFF,Calydonian-Boar,Calydonian-Boar,8,,Gold,Square with round hole,,,5,Round canvas portrait of Calydonian-Boar,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Greek/Monsters/Calydonian-Boar,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Calydonian-Boar""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Cetus,Cetus,,,Green,,,,,Round canvas portrait of Cetus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Cetus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Cetus""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Charybdis,Charybdis,,,,,,,,Round canvas portrait of Charybdis,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Charybdis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Charybdis""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Crommyonian-Sow,Crommyonian-Sow,,,,,,,,Round canvas portrait of Crommyonian-Sow,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Crommyonian-Sow,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Crommyonian-Sow""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Harpies,Harpies,,,,,,,,Round canvas portrait of Harpies,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Harpies,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Harpies""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Khalkotauroi - Colchis Bulls,Khalkotauroi - Colchis Bulls,,,,,,,,Round canvas portrait of Khalkotauroi - Colchis Bulls,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Khalkotauroi - Colchis Bulls,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Khalkotauroi - Colchis Bulls""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Ladon,Ladon,,,,,,,,Round canvas portrait of Ladon,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Ladon,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Ladon""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Lernaean-Hydra,Lernaean-Hydra,,,,,,,,Round canvas portrait of Lernaean-Hydra,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Lernaean-Hydra,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Lernaean-Hydra""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Mares-of-Diomedes,Mares-of-Diomedes,,,,,,,,Round canvas portrait of Mares-of-Diomedes,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Mares-of-Diomedes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Mares-of-Diomedes""}]",,,,,,,,,,,,,,
,,,,Monsters,FFFFFF,Nemean-Lion,Nemean-Lion,,,,,,,,Round canvas portrait of Nemean-Lion,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Monsters/Nemean-Lion,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Nemean-Lion""}]",,,,,,,,,,,,,,
