preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,The Titans,FFFFFF,asteria,asteria,8,,Gold,Square with round hole,,,5,Round canvas portrait of Asteria,5,,,,,,,,,,,,,,,,,,,,2,3,,04_COLLECTIONS/Greek/The Titans/Asteria,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,Zora,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Asteria""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,astraeus,astraeus,,,Green,,,,,Round canvas portrait of Astraeus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Astraeus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Astraeus""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,atlas,atlas,,,,,,,,Round canvas portrait of Atlas,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Atlas,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Atlas""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,clymene,clymene,,,,,,,,Round canvas portrait of Clymene,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Clymene,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Clymene""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,coeus,coeus,,,,,,,,Round canvas portrait of Coeus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Coeus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Coeus""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,crius,crius,,,,,,,,Round canvas portrait of Crius,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Crius,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Crius""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,cronus,cronus,,,,,,,,Round canvas portrait of Cronus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Cronus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Cronus""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,dione,dione,,,,,,,,Round canvas portrait of Dione,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Dione,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Dione""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,eos,eos,,,,,,,,Round canvas portrait of Eos,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Eos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Eos""}]",,,,,,,,,,,,
,,,,The Titans,FFFFFF,epimetheus,epimetheus,,,,,,,,Round canvas portrait of Epimetheus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/The Titans/Epimetheus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,OpenSea,,,,,,,,,,,,,,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Epimetheus""}]",,,,,,,,,,,,
