preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Celtic Mythology,FFFFFF,Dagda,Dagda,8,,Gold,Square with round hole,dagda,dagda,5,Round canvas portrait of Dagda,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Celtic/Dagda,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Dagda""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Aengus / Óengus,Aengus / Óengus,,,Green,,aengus-engus,,,Round canvas portrait of Aengus / Óengus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Aengus / Óengus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Aengus / Óengus""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,The Morrígan,The Morrígan,,,,,the-morr-gan,,,Round canvas portrait of The Morrígan,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/The Morrígan,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""The Morrígan""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Lugh/Lug,Lugh/Lug,,,,,lugh-lug,,,Round canvas portrait of Lugh/Lug,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Lugh/Lug,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Lugh/Lug""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Brigid/Brigit,Brigid/Brigit,,,,,brigid-brigit,,,Round canvas portrait of Brigid/Brigit,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Brigid/Brigit,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Brigid/Brigit""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Danu (Tuatha Dé Danann),Danu (Tuatha Dé Danann),,,,,danu-tuatha-d-danann,,,Round canvas portrait of Danu (Tuatha Dé Danann),,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Danu (Tuatha Dé Danann),OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Danu (Tuatha Dé Danann)""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Cernunnos,Cernunnos,,,,,cernunnos,,,Round canvas portrait of Cernunnos,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Cernunnos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Cernunnos""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Arawn,Arawn,,,,,arawn,,,Round canvas portrait of Arawn,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Arawn,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Arawn""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Eriu/Eire,Eriu/Eire,,,,,eriu-eire,,,Round canvas portrait of Eriu/Eire,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Eriu/Eire,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Eriu/Eire""}]",,,,,,,,,,,,,,
,,,,Celtic Mythology,FFFFFF,Badb,Badb,,,,,badb,,,Round canvas portrait of Badb,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Celtic/Badb,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Celtic""},{""trait_type"":""Character"",""value"":""Badb""}]",,,,,,,,,,,,,,
