preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Egyptian Mythology,FFFFFF,Amun and Amun-Ra,Amun and Amun-Ra,8,,Gold,Square with round hole,amun-and-amun-ra,Amun and Amun-Ra,5,Round canvas portrait of Amun and Amun-Ra,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Egyptian/Amun and Amun-Ra,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Amun and Amun-Ra""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Osiris,Osiris,,,Green,,osiris,,,Round canvas portrait of Osiris,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Osiris,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Osiris""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Isis,Isis,,,,,isis,,,Round canvas portrait of Isis,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Isis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Isis""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Horus,Horus,,,,,horus,,,Round canvas portrait of Horus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Horus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Horus""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Anubis,Anubis,,,,,anubis,,,Round canvas portrait of Anubis,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Anubis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Anubis""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Ammit,Ammit,,,,,ammit,,,Round canvas portrait of Ammit,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Ammit,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Ammit""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Aten,Aten,,,,,aten,,,Round canvas portrait of Aten,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Aten,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Aten""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Atum,Atum,,,,,atum,,,Round canvas portrait of Atum,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Atum,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Atum""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Ra,Ra,,,,,ra,,,Round canvas portrait of Ra,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Ra,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Ra""}]",,,,,,,,,,,,,,
,,,,Egyptian Mythology,FFFFFF,Hathor,Hathor,,,,,hathor,,,Round canvas portrait of Hathor,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Egyptian/Hathor,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Egyptian""},{""trait_type"":""Character"",""value"":""Hathor""}]",,,,,,,,,,,,,,
