preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Gods And Goddesses,FFFFFF,Aeolus,Aeolus,8,,Gold,Square with round hole,,Aeolus,5,Round canvas portrait of Aeolus,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Aeolus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aeolus""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Aether,Aether,,,Green,,,,,Round canvas portrait of Aether,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Aether,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aether""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Amphitrite,Amphitrite,,,,,,,,Round canvas portrait of Amphitrite - Needs redoing,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Amphitrite - Needs redoing,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Amphitrite - Needs redoing""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Anemoi,Anemoi,,,,,,,,Round canvas portrait of Anemoi,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Anemoi,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Anemoi""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Apate,Apate,,,,,,,,Round canvas portrait of Apate,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Apate,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Apate""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Asclepius,Asclepius,,,,,,,,Round canvas portrait of Asclepius,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Asclepius,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Asclepius""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Aura,Aura,,,,,,,,Round canvas portrait of Aura,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Aura,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Aura""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Bia,Bia,,,,,,,,Round canvas portrait of Bia,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Bia,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Bia""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Chaos,Chaos,,,,,,,,Round canvas portrait of Chaos,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Chaos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Chaos""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Circe,Circe,,,,,,,,Round canvas portrait of Circe,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Circe,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Circe""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Deimos,Deimos,,,,,,,,Round canvas portrait of Deimos,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Deimos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Deimos""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,FFFFFF,Demeter,Demeter,,,,,,,,Round canvas portrait of Demeter,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Demeter,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Demeter""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Dionysus,Dionysus,,,,,,,,Round canvas portrait of Dionysus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Dionysus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Dionysus""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Eileithyia,Eileithyia,,,,,,,,Round canvas portrait of Eileithyia,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Eileithyia,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Eileithyia""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Enyo,Enyo,,,,,,,,Round canvas portrait of Enyo,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Enyo,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Enyo""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Erebus,Erebus,,,,,,,,Round canvas portrait of Erebus,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Erebus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Erebus""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Eris,Eris,,,,,,,,Round canvas portrait of Eris,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Eris,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Eris""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Eros,Eros,,,,,,,,Round canvas portrait of Eros,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Eros,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Eros""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Gaia,Gaia,,,,,,,,Round canvas portrait of Gaia,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Gaia,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Gaia""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Geras,Geras,,,,,,,,Round canvas portrait of Geras,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Geras,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Geras""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Harmonia,Harmonia,,,,,,,,Round canvas portrait of Harmonia,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Harmonia,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Harmonia""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Hebe,Hebe,,,,,,,,Round canvas portrait of Hebe,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Hebe,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hebe""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Hecate,Hecate,,,,,,,,Round canvas portrait of Hecate,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Hecate,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hecate""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Helios,Helios,,,,,,,,Round canvas portrait of Helios,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Helios,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Helios""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Hemera,Hemera,,,,,,,,Round canvas portrait of Hemera,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Hemera,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hemera""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Horae,Horae,,,,,,,,Round canvas portrait of Horae,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Horae,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Horae""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Hypnos,Hypnos,,,,,,,,Round canvas portrait of Hypnos,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Hypnos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hypnos""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Iris,Iris,,,,,,,,Round canvas portrait of Iris,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Iris,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Iris""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Keres,Keres,,,,,,,,Round canvas portrait of Keres,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Keres,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Keres""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Kratos,Kratos,,,,,,,,Round canvas portrait of Kratos,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Kratos,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Kratos""}]",,,,,,,,,,,,,,
,,,,Gods And Goddesses,,Adonis,Adonis,,,,,,,,Round canvas portrait of Adonis,,,,,,,,,,,,,,,,,,,,,,,,04_COLLECTIONS/Greek/Gods And Goddesses/Adonis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Adonis""}]",,,,,,,,,,,,,,
