preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes
,1002,1,Mythic Icon,Greek Collections,FFFFFF,Bulls,Bulls,8,,Gold,Square with round hole,bulls,Bulls,5,Round canvas portrait of Bulls,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Greek/Greek Collections/Bulls,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Bulls""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Centaurs,Centaurs,,,Green,,centaurs,,,Round canvas portrait of Centaurs,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Centaurs,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Centaurs""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Dragons,Dragons,,,,,dragons,,,Round canvas portrait of Dragons,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Dragons,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Dragons""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Female Monsters,Female Monsters,,,,,female-monsters,,,Round canvas portrait of Female Monsters,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Female Monsters,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Female Monsters""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Giants,Giants,,,,,giants,,,Round canvas portrait of Giants,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Giants,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Giants""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Hercules,Hercules,,,,,hercules,,,Round canvas portrait of Hercules,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Hercules,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hercules""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Hercules And The Arenas Of Beasts,Hercules And The Arenas Of Beasts,,,,,hercules-and-the-arenas-of-beasts,,,Round canvas portrait of Hercules And The Arenas Of Beasts,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Hercules And The Arenas Of Beasts,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Hercules And The Arenas Of Beasts""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Medusa Collection,Medusa Collection,,,,,medusa-collection,,,Round canvas portrait of Medusa Collection,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Medusa Collection,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Medusa Collection""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Sea Gods & Monsters,Sea Gods & Monsters,,,,,sea-gods-monsters,,,Round canvas portrait of Sea Gods & Monsters,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Sea Gods & Monsters,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Sea Gods & Monsters""}]",,,,,,,,,,,,,,
,,,,Greek Collections,FFFFFF,Underworld Gods and Goddesses,Underworld Gods and Goddesses,,,,,underworld-gods-and-goddesses,,,Round canvas portrait of Underworld Gods and Goddesses,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Greek/Greek Collections/Underworld Gods and Goddesses,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Greek""},{""trait_type"":""Character"",""value"":""Underworld Gods and Goddesses""}]",,,,,,,,,,,,,,
