preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes,title_hi,description_hi,alt_text_hi
,1002,1,Mythic Icon,Hindu Mythology,FFFFFF,Vishnu,Vishnu,8,,Gold,Square with round hole,vishnu,Vishnu,5,Round canvas portrait of Vishnu,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Hindu/Vishnu,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Vishnu""}]",,,,,,,,,,,,,,,,,विष्णु का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Brahma,Brahma,,,Green,,brahma,Brahma,,Round canvas portrait of Brahma,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Brahma,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Brahma""}]",,,,,,,,,,,,,,,,,ब्रह्मा का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Shiva,Shiva,,,,,shiva,Shiva,,Round canvas portrait of Shiva,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Shiva,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Shiva""}]",,,,,,,,,,,,,,,,,शिव का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Parvati,Parvati,,,,,parvati,Parvati,,Round canvas portrait of Parvati,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Parvati,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Parvati""}]",,,,,,,,,,,,,,,,,पार्वती का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Saraswati.,Saraswati.,,,,,saraswati,Saraswati.,,Round canvas portrait of Saraswati.,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Saraswati.,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Saraswati.""}]",,,,,,,,,,,,,,,,,सरस्वती का गोल कैनवास चित्र।
,,,,Hindu Mythology,FFFFFF,Ganesha,Ganesha,,,,,ganesha,Ganesha,,Round canvas portrait of Ganesha,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Ganesha,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Ganesha""}]",,,,,,,,,,,,,,,,,गणेश का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Krishna,Krishna,,,,,krishna,Krishna,,Round canvas portrait of Krishna,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Krishna,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Krishna""}]",,,,,,,,,,,,,,,,,कृष्ण का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Rama,Rama,,,,,rama,Rama,,Round canvas portrait of Rama,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Rama,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Rama""}]",,,,,,,,,,,,,,,,,राम का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Hanuman,Hanuman,,,,,hanuman,Hanuman,,Round canvas portrait of Hanuman,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Hanuman,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Hanuman""}]",,,,,,,,,,,,,,,,,हनुमान का गोल कैनवास चित्र
,,,,Hindu Mythology,FFFFFF,Kali,Kali,,,,,kali,Kali,,Round canvas portrait of Kali,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Hindu/Kali,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Hindu""},{""trait_type"":""Character"",""value"":""Kali""}]",,,,,,,,,,,,,,,,,काली का गोल कैनवास चित्र
