preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes,title_ja,description_ja,alt_text_ja
,1002,1,Mythic Icon,Japanese Mythology,FFFFFF,Amaterasu,Amaterasu,8,,Gold,Square with round hole,jupiter,Amaterasu,5,Round canvas portrait of Amaterasu,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Japanese/Amaterasu,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Amaterasu""}]",,,,,,,,,,,,,,,,,天照大御神の円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Uzume / Ame-no-Uzume,Uzume / Ame-no-Uzume,,,Green,,neptune,Uzume / Ame-no-Uzume,,Round canvas portrait of Uzume / Ame-no-Uzume,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Uzume / Ame-no-Uzume,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Uzume / Ame-no-Uzume""}]",,,,,,,,,,,,,,,,,ウズメ像（天鈿女）
,,,,Japanese Mythology,FFFFFF,Raijin,Raijin,,,,,pluto,Raijin,,Round canvas portrait of Raijin,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Raijin,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Raijin""}]",,,,,,,,,,,,,,,,,丸いキャンバスの雷神の肖像画
,,,,Japanese Mythology,FFFFFF,Hachiman,Hachiman,,,,,apollo,Hachiman,,Round canvas portrait of Hachiman,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Hachiman,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Hachiman""}]",,,,,,,,,,,,,,,,,八幡丸肖像画
,,,,Japanese Mythology,FFFFFF,Izanagi,Izanagi,,,,,mars,Izanagi,,Round canvas portrait of Izanagi,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Izanagi,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Izanagi""}]",,,,,,,,,,,,,,,,,イザナギの円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Izanami,Izanami,,,,,cupid,Izanami,,Round canvas portrait of Izanami,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Izanami,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Izanami""}]",,,,,,,,,,,,,,,,,イザナミの円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Omoikane,Omoikane,,,,,saturn,Omoikane,,Round canvas portrait of Omoikane,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Omoikane,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Omoikane""}]",,,,,,,,,,,,,,,,,オモイカネの円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Tsukuyomi / Tsukuyomi-no-Mikoto,Tsukuyomi / Tsukuyomi-no-Mikoto,,,,,vulcan,Tsukuyomi / Tsukuyomi-no-Mikoto,,Round canvas portrait of Tsukuyomi / Tsukuyomi-no-Mikoto,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Tsukuyomi / Tsukuyomi-no-Mikoto,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Tsukuyomi / Tsukuyomi-no-Mikoto""}]",,,,,,,,,,,,,,,,,ツクヨミ/ツクヨミノミコトの円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Saruta-hiko,Saruta-hiko,,,,,mercury,Saruta-hiko,,Round canvas portrait of Saruta-hiko,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Saruta-hiko,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Saruta-hiko""}]",,,,,,,,,,,,,,,,,猿田彦の円形キャンバス肖像画
,,,,Japanese Mythology,FFFFFF,Ryūjin,Ryūjin,,,,,bacchus,Ryūjin,,Round canvas portrait of Ryūjin,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Japanese/Ryūjin,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Japanese""},{""trait_type"":""Character"",""value"":""Ryūjin""}]",,,,,,,,,,,,,,,,,龍神の円形キャンバス肖像画
