preview,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,myth_scene,Style,Colorway,Frame,slug,title_display,title_en,description_en,alt_text_en,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,image_cid,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,reveal_mode,reveal_date,freeze_policy,freeze_date,primary_mint_platform,est_gas_mint,est_gas_batch,contract_address,contract_factory,Renders,Thumbnails,cid_Renders,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid_legacy,unlockable_bytes,image_url,animation_url,drive_image_id,drive_animation_id,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes,meta_title_auto,meta_description_auto,og_image_auto,print_eligible_inferred,provenance_block_sha,external_url_built,json_filename,edition_string,media_filename,len_name_final,status_name_final,len_slug,status_slug,len_description_en,status_description_en,len_caption_300,status_caption_300,len_Series,status_Series,len_Character,status_Character,len_Character_Variant,status_Character_Variant,len_myth_scene,status_myth_scene,len_Style,status_Style,len_Tier,status_Tier,len_edition_size,status_edition_size,sot_status,caption_long_en,research_notes,sources_bibliography,sot_link,HIDDEN_OPS - columns hidden
,1002,1,Mythic Icon,The Olympian,#000000,Zeus - The King Of The Gods,Zeus,The Wise,Watches the world from Olympia,Painterly photographic,Gold and Blue Pallette,Gold Baroque,the-olympians-zeus-8,The Olympian | Zeus The Wise Watches the world from Olympia | Painterly photographic | Gold Baroque,Zeus - The King Of The Gods (the olympians zeus),5,Round canvas portrait of Zeus palette: Gold.,,,,,,,,,,,Greek,,,,,2,https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,3,,,,04_COLLECTIONS/Greek/The Olympians/Zeus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,off,ETH,0,,,,,,,,,OpenSea,Zora,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,https://drive.google.com/uc?export=view&id=https://drive.google.com/file/d/142opRbP2MUcup8wvDmCWNz_gb3iPp1BW/view?usp=sharing,https://drive.google.com/file/d/1xwyiOO42bFuPjYke_zymFEe-LgxNyQbh/view?usp=sharing,https://drive.google.com/file/d/142opRbP2MUcup8wvDmCWNz_gb3iPp1BW/view?usp=sharing,,,,,,,,,,,100,10,"Round canvas portrait of Zeus (8),  with Square with round hole, Gold palette. Mythic Icon edition.",Zeus — Zeus · 8 · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Zeus""},{""trait_type"":""Variant/Location"",""value"":""8""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""},{""trait_type"":""Colorway"",""value"":""Gold""},{""trait_type"":""Frame"",""value"":""Square with round hole""}]",TRUE,,operator_filter ≠ Control_GHM,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-zeus-8,the-olympians-zeus-8.json,Edition of 1,the-olympians-zeus-8,4,GREEN,20,GREEN,1,GREEN,0,GREEN,13,GREEN,4,GREEN,1,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Zeus is the Olympian god of the sky and the thunder, the king of all other gods and men, and, consequently, the chief figure in Greek mythology. The son of Cronus and Rhea, he is probably most famous for his infidelity to his sister and wife, Hera.  Athena, Apollo and Artemis, Hermes, Dionysus, Heracles, Helen of Troy, and the Muses are all children of his numerous erotic affairs. Hephaestus, Hebe, and Ares are his legitimate children.",Internal notes,"Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Limited Edition Print,The Olympian,#FFFFFF,Posiedon,Posiedon,,,,Green,,the-olympians-posiedon,The Olympian | Posiedon,Posiedon (the olympians posiedon),,Round canvas portrait of Posiedon,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Posiedon,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,https://drive.google.com/file/d/1ONpf768_De6uY_ZtVXyvOXruA5YW_suA/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Posiedon, , Green palette. Limited Edition Print edition.",Posiedon — Posiedon · Limited Edition Print,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Posiedon""},{""trait_type"":""Tier"",""value"":""Limited Edition Print""},{""trait_type"":""Edition Size"",""value"":""1""},{""trait_type"":""Colorway"",""value"":""Green""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-posiedon,the-olympians-posiedon.json,Edition of 1,the-olympians-posiedon,8,GREEN,22,GREEN,0,GREEN,0,GREEN,13,GREEN,8,GREEN,0,GREEN,0,GREEN,0,GREEN,21,GREEN,1,GREEN,TRUE,"Poseidon is the violent and ill-tempered god of the sea. One of the Twelve Olympians, he was also feared as the provoker of earthquakes and worshipped as the creator of the horse. A hot-blooded deity, Poseidon had many disputes with both gods and men, most famously with Athena and Odysseus.","A bibliography is an alphabetical list of sources, and examples vary based on the style guide (like APA, MLA, or Harvard). For a book, an example would be","Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Ares,Ares,,,,,,the-olympians-ares,The Olympian | Ares,Ares (the olympians ares),,Round canvas portrait of Ares,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Ares,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,https://drive.google.com/file/d/1SB0nCUyaw7RkOe4k0lCOP_ZvXh4M_N8Q/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Ares, ,. Mythic Icon edition.",Ares — Ares · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Ares""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-ares,the-olympians-ares.json,Edition of 1,the-olympians-ares,4,GREEN,18,GREEN,0,GREEN,0,GREEN,13,GREEN,4,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Ares is the Olympian god of war. However, unlike Athena, he represents merely its destructive capacity and is typically the personification of sheer violence and brutality. Consequently, he was loved neither by gods nor by men. That is, with the exception of Aphrodite, who bore him many children out of wedlock.",Internal notes,"Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#000000,HADES,HADES,,,,,,the-olympians-hades,The Olympian | HADES,HADES (the olympians hades),,Round canvas portrait of HADES,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/HADES,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,https://drive.google.com/file/d/13PzeNhSHS8kapZwOHNx86fpgUIU1t_nT/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of HADES, ,. Mythic Icon edition.",HADES — HADES · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""HADES""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-hades,the-olympians-hades.json,Edition of 1,the-olympians-hades,5,GREEN,19,GREEN,0,GREEN,0,GREEN,13,GREEN,5,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Hades is the Ancient Greek god of the Underworld, the place where human souls go after death. In time, his name became synonymous with his realm. It has to be said unsurprisingly – since he barely left it. Appropriately, the most significant myth related to Hades concerns one of the very few times he did – to abduct Demeter’s daughter, Persephone.","A bibliography is an alphabetical list of sources, and examples vary based on the style guide (like APA, MLA, or Harvard). For a book, an example would be","Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Aphrodite,Aphrodite,,,,,,the-olympians-aphrodite,The Olympian | Aphrodite,Aphrodite (the olympians aphrodite),,Round canvas portrait of Aphrodite,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Aphrodite,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,https://drive.google.com/file/d/1RQHzDMc9dBvOfLYrTvU2gwr_6g6rVDHU/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Aphrodite, ,. Mythic Icon edition.",Aphrodite — Aphrodite · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Aphrodite""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-aphrodite,the-olympians-aphrodite.json,Edition of 1,the-olympians-aphrodite,9,GREEN,23,GREEN,0,GREEN,0,GREEN,13,GREEN,9,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Aphrodite is the Olympian goddess of love, beauty, sexual pleasure, and fertility. She is regularly attended by few of her children, the Erotes, who are capable of stirring up passion in both mortals and gods at the goddess’ will. Portrayed as both insatiable and unattainable, Aphrodite was born near the coast of Cythera out of the foam (aphros) Uranus' castrated genitals created when they fell into the sea. Even though married to Hephaestus, she had affairs with all Olympians except Zeus and Hades, most famously with Ares, the god of war. She also had famous romances with two mortals, Anchises and Adonis.",Internal notes,"Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Apollo,Apollo,,,,,,the-olympians-apollo,The Olympian | Apollo,Apollo (the olympians apollo),,Round canvas portrait of Apollo,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Apollo,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,https://drive.google.com/file/d/1o7HMBtLjAoFZcGlkwy8oZpGUvpr_cLHv/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Apollo, ,. Mythic Icon edition.",Apollo — Apollo · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Apollo""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-apollo,the-olympians-apollo.json,Edition of 1,the-olympians-apollo,6,GREEN,20,GREEN,0,GREEN,0,GREEN,13,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Apollo is the Olympian god of light, music and poetry, healing and plagues, prophecy and knowledge, order and beauty, archery and agriculture. An embodiment of the Hellenic ideal of kalokagathia, he is harmony, reason and moderation personified, a perfect blend of physical superiority and moral virtue. A complex deity who turns up in art and literature possibly as often as Zeus himself, Apollo is the only major god who appears with the same name in both Greek and Roman mythology.","A bibliography is an alphabetical list of sources, and examples vary based on the style guide (like APA, MLA, or Harvard). For a book, an example would be","Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Relic,The Olympian,#FFFFFF,Athena,Athena,,,,,,the-olympians-athena,The Olympian | Athena,Athena (the olympians athena),,Round canvas portrait of Athena,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Athena,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,https://drive.google.com/file/d/1lQEAsOh9PQYJWwdHz4RmdAVSuCnyV4SG/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Athena, ,. Relic edition.",Athena — Athena · Relic,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Athena""},{""trait_type"":""Tier"",""value"":""Relic""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-athena,the-olympians-athena.json,Edition of 1,the-olympians-athena,6,GREEN,20,GREEN,0,GREEN,0,GREEN,13,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,5,GREEN,1,GREEN,TRUE,"Athena is the Olympian goddess of wisdom and war and the adored patroness of the city of Athens. A virgin deity, she was also – somewhat paradoxically – associated with peace and handicrafts, especially spinning and weaving. Majestic and stern, Athena surpassed everybody in both of her main domains. In fact, even Ares feared her; and all Greek heroes asked her for help and advice.",Internal notes,"Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Hera,Hera,,,,,,the-olympians-hera,The Olympian | Hera,Hera (the olympians hera),,Round canvas portrait of Hera,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Hera,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,https://drive.google.com/file/d/1RuBEOxQVa5PwkKpgXyCOzZwMwzIS6ndg/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Hera, ,. Mythic Icon edition.",Hera — Hera · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Hera""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-hera,the-olympians-hera.json,Edition of 1,the-olympians-hera,4,GREEN,18,GREEN,0,GREEN,0,GREEN,13,GREEN,4,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Hera is the wife of Zeus, the Queen of Olympus, and the Olympian goddess of marriage. As such, she is also the deity most associated with family and the welfare of women and children. Her marriage, however, was an unhappy one, since Zeus had numerous affairs. Jealous and vengeful, Hera made sure to give each of his consorts some hard time.","A bibliography is an alphabetical list of sources, and examples vary based on the style guide (like APA, MLA, or Harvard). For a book, an example would be","Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#000000,Hermes,Hermes,,,,,,the-olympians-hermes,The Olympian | Hermes,Hermes (the olympians hermes),,Round canvas portrait of Hermes,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Hermes,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,https://drive.google.com/file/d/1y7SNji36Dw5oniWutkwGPIDZhDADdb_c/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Hermes, ,. Mythic Icon edition.",Hermes — Hermes · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Hermes""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-hermes,the-olympians-hermes.json,Edition of 1,the-olympians-hermes,6,GREEN,20,GREEN,0,GREEN,0,GREEN,13,GREEN,6,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Hermes is the winged herald and messenger of the Olympian gods. In addition, he is also a divine trickster, and the god of roads, flocks, commerce, and thieves. A precocious newborn, he invented the lyre and stole Apollo’s cattle on the very first day of his life. Hermes was the only Olympian capable of crossing the border between the living and the dead.",Internal notes,"Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Artemis,Artemis,,,,,,the-olympians-artemis,The Olympian | Artemis,Artemis (the olympians artemis),,Round canvas portrait of Artemis,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Artemis,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,https://drive.google.com/file/d/1B9OiJY7FJlprh1rE7yl_9iJrd1A_UBBn/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Artemis, ,. Mythic Icon edition.",Artemis — Artemis · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Artemis""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-artemis,the-olympians-artemis.json,Edition of 1,the-olympians-artemis,7,GREEN,21,GREEN,0,GREEN,0,GREEN,13,GREEN,7,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,TRUE,"Artemis is the Olympian goddess of the hunt, the moon, and chastity; in time, she also became associated with childbirth and nature. No more than few days old, she helped her mother Leto give birth to her twin brother Apollo. Artemis was very protective of her and her priestesses’ innocence. Consequently, she wasn’t very nice when some of them weren’t so careful.","A bibliography is an alphabetical list of sources, and examples vary based on the style guide (like APA, MLA, or Harvard). For a book, an example would be","Hesiod, Homer, Apollodorus",SoT Doc,
,,1,Mythic Icon,The Olympian,#FFFFFF,Hephaestus,Hephaestus,,,,,,the-olympians-hephaestus,The Olympian | Hephaestus,Hephaestus (the olympians hephaestus),,Round canvas portrait of Hephaestus,,,,,,,,,,,Greek,,,,,,https://drive.google.com/file/d/1GjN3X1eu4Od0n-gIlfeREH-sM-QzBcRT/view?usp=sharing,,,,,04_COLLECTIONS/Greek/The Olympians/Hephaestus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,ETH,0,,,,,,,,,,OpenSea,,,,,,,,,,,,,https://godsheroesmyths.com/license,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,https://cloudflare-ipfs.com/ipfs/https://drive.google.com/file/d/1GjN3X1eu4Od0n-gIlfeREH-sM-QzBcRT/view?usp=sharing,,https://drive.google.com/file/d/1GjN3X1eu4Od0n-gIlfeREH-sM-QzBcRT/view?usp=sharing,,,,,,,,,,,,100,10,"Round canvas portrait of Hephaestus, ,. Mythic Icon edition.",Hephaestus — Hephaestus · Mythic Icon,"[{""trait_type"":""Pantheon"",""value"":""Greek""},{""trait_type"":""Series"",""value"":""The Olympians""},{""trait_type"":""Character"",""value"":""Hephaestus""},{""trait_type"":""Tier"",""value"":""Mythic Icon""},{""trait_type"":""Edition Size"",""value"":""1""}]",TRUE,,,FALSE,,,,,,,,,,,,,,NO,f1144e5f72da9746283998a335be8fccc98e3f61a418d0042385c399f8efb358,https://godsheroesmyths.com/the-olympians-hephaestus,the-olympians-hephaestus.json,Edition of 1,the-olympians-hephaestus,10,GREEN,24,GREEN,0,GREEN,0,GREEN,13,GREEN,10,GREEN,0,GREEN,0,GREEN,0,GREEN,11,GREEN,1,GREEN,FALSE,,,,,
