preview_thumb,token_id,edition_size,Tier,Series,background_hex,name_final,Character,Character_Variant,Style,Colorway,Frame,slug,title_en,description_en,alt_text_en,myth_scene,meaning_line,caption_300,symbols,display_order,qc_status,qc_notes,ready_for_export,listing_status,Rarity,symbols,cid_Poster_Image,image_cid,Pantheon,Masters,Previews,cid_Poster_Image,external_url,image_filename,animation_filename,animation_cid,taxonomy_tags,token_range,collection_path,marketplace,standard,price_native,currency,operator_filter,chain,royalty_bps,fee_recipient,contract_address,contract_factory,Renders,Thumbnails,cid_Previews,cid_Renders,cid_Thumbnails,image_path,json_path,json_cid,unlockable_path,cid_master,cid_video,cid_vr,cid_coa,cid_print_token,license_url,license_attr_value,schema_version,operator_policy_note,unlockable_notes,unlockable_flag,unlockable_type,unlockable_cid,unlockable_cid,unlockable_bytes,unlockable_zip_filename,unlockable_zip_url,unlockable_zip_bytes,unlockable_zip_sha256,export_batch_id,last_qc_at,last_modified,opensea_permalink,json_preview_url,status_json,category_id,subcategory_id,alt_text_en_auto,hook_line,attributes_json,json_will_emit,missing_fields,warnings,checksum_ok,image_width,image_height,image_checksum,animation_width,animation_height,animation_duration_s,image_mime,image_bytes,animation_mime,animation_bytes,title_it,description_it,alt_text_it
,1002,1,Mythic Icon,Roman Mythology,FFFFFF,Jupiter,Jupiter,8,,Gold,Square with round hole,jupiter,Jupiter,5,Round canvas portrait of Jupiter,,,,,,,,,,,,,,Greek,,,,,2,3,,,,04_COLLECTIONS/Roman/Jupiter,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,Photo-painterly Photographic,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Jupiter""}]",,,,,,,,,,,,,,,,,Ritratto di Giove su tela rotonda
,,,,Roman Mythology,FFFFFF,Neptune,Neptune,,,Green,,neptune,,,Round canvas portrait of Neptune,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Neptune,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Neptune""}]",,,,,,,,,,,,,,,,,Ritratto di Nettuno su tela rotonda
,,,,Roman Mythology,FFFFFF,Pluto,Pluto,,,,,pluto,,,Round canvas portrait of Pluto,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Pluto,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Pluto""}]",,,,,,,,,,,,,,,,,Ritratto di Plutone su tela rotonda
,,,,Roman Mythology,FFFFFF,Apollo,Apollo,,,,,apollo,,,Round canvas portrait of Apollo,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Apollo,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Apollo""}]",,,,,,,,,,,,,,,,,Ritratto di Apollo su tela rotonda
,,,,Roman Mythology,FFFFFF,Mars,Mars,,,,,mars,,,Round canvas portrait of Mars,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Mars,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Mars""}]",,,,,,,,,,,,,,,,,Ritratto di Marte su tela rotonda
,,,,Roman Mythology,FFFFFF,Cupid,Cupid,,,,,cupid,,,Round canvas portrait of Cupid,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Cupid,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Cupid""}]",,,,,,,,,,,,,,,,,Ritratto rotondo su tela di Cupido
,,,,Roman Mythology,FFFFFF,Saturn,Saturn,,,,,saturn,,,Round canvas portrait of Saturn,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Saturn,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Saturn""}]",,,,,,,,,,,,,,,,,Ritratto di Saturno su tela rotonda
,,,,Roman Mythology,FFFFFF,Vulcan,Vulcan,,,,,vulcan,,,Round canvas portrait of Vulcan,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Vulcan,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Vulcan""}]",,,,,,,,,,,,,,,,,Ritratto di Vulcano su tela rotonda
,,,,Roman Mythology,FFFFFF,Mercury,Mercury,,,,,mercury,,,Round canvas portrait of Mercury,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Mercury,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Mercury""}]",,,,,,,,,,,,,,,,,Ritratto di Mercurio su tela rotonda
,,,,Roman Mythology,FFFFFF,Bacchus,Bacchus,,,,,bacchus,,,Round canvas portrait of Bacchus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Bacchus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Bacchus""}]",,,,,,,,,,,,,,,,,Ritratto di Bacco su tela rotonda
,,1,Mythic Icon,Roman Mythology,FFFFFF,Juno,Juno,,,,,juno,,,Round canvas portrait of Juno,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Juno,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,Zora,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Juno""}]",,,,,,,,,,,,,,,,,Ritratto di Giunone su tela rotonda
,,,,Roman Mythology,FFFFFF,Minerva,Minerva,,,,,minerva,,,Round canvas portrait of Minerva,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Minerva,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Minerva""}]",,,,,,,,,,,,,,,,,Ritratto di Minerva su tela rotonda
,,,,Roman Mythology,FFFFFF,Flora,Flora,,,,,flora,,,Round canvas portrait of Flora,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Flora,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Flora""}]",,,,,,,,,,,,,,,,,Ritratto di Flora su tela rotonda
,,,,Roman Mythology,FFFFFF,Vesta,Vesta,,,,,vesta,,,Round canvas portrait of Vesta,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Vesta,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Vesta""}]",,,,,,,,,,,,,,,,,Ritratto di Vesta su tela rotonda
,,,,Roman Mythology,FFFFFF,Venus,Venus,,,,,venus,,,Round canvas portrait of Venus,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Venus,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Venus""}]",,,,,,,,,,,,,,,,,Ritratto di Venere su tela rotonda
,,,,Roman Mythology,FFFFFF,Ceres,Ceres,,,,,ceres,,,Round canvas portrait of Ceres,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Ceres,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Ceres""}]",,,,,,,,,,,,,,,,,Ritratto di Cerere su tela rotonda
,,,,Roman Mythology,FFFFFF,Diana,Diana,,,,,diana,,,Round canvas portrait of Diana,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Diana,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Diana""}]",,,,,,,,,,,,,,,,,Ritratto di Diana su tela rotonda
,,,,Roman Mythology,FFFFFF,Salacia,Salacia,,,,,salacia,,,Round canvas portrait of Salacia,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Salacia,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Salacia""}]",,,,,,,,,,,,,,,,,Ritratto di Salacia su tela rotonda
,,,,Roman Mythology,FFFFFF,Luna,Luna,,,,,luna,,,Round canvas portrait of Luna,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Luna,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Luna""}]",,,,,,,,,,,,,,,,,Ritratto rotondo su tela di Luna
,,,,Roman Mythology,FFFFFF,Fortuna,Fortuna,,,,,fortuna,,,Round canvas portrait of Fortuna,,,,,,,,,,,,,,Greek,,,,,,,,,,04_COLLECTIONS/Roman/Fortuna,OpenSea,721,00_ADMIN/LICENSE_TEMPLATE.txt,,on,,,,,OpenSea,,,,,,,,,,,,,,,Add,,v1.1,Respect creator royalties; allow major marketplaces.,,,,,,,,,,,,,,,,,,,,,"[{""trait_type"":""Series"",""value"":""Roman""},{""trait_type"":""Character"",""value"":""Fortuna""}]",,,,,,,,,,,,,,,,,Ritratto rotondo su tela di Fortuna
